,FSCS,Location,Library Class,Total Population Served,City,County,Cooperative,Non-Resident Fee,NR Fee Annual or One Time,Fee schedule or non-resident rate (Example: $35/family;$25/individual),Full Library Service for Contracted Municipalities
42,MI0247,North Branch Township Library,"Class 1: Serve 3,999 or less",3645.0,North Branch,Lapeer,Mideastern Michigan Library Cooperative,Yes,Annual,$5/Individual,
43,MI0254,Ontonagon Township Library,"Class 1: Serve 3,999 or less",3679.0,Ontonagon,Ontonagon,Superiorland Library Cooperative,Yes,Annual,$10/card,Yes
44,MI0256,Osceola Township School Public Library,"Class 1: Serve 3,999 or less",1830.0,Dollar Bay,Houghton,Superiorland Library Cooperative,No,,,
45,MI0267,Pentwater Township Library,"Class 1: Serve 3,999 or less",1939.0,Pentwater,Oceana,Mid-Michigan Library League,Yes,Annual,$10 Annually,Yes
46,MI0427,Ray Township Public Library,"Class 1: Serve 3,999 or less",3739.0,Ray,Macomb,Suburban Library Cooperative,Yes,Annual,200.00,
47,MI0285,Republic-Michigamme Public Library,"Class 1: Serve 3,999 or less",1508.0,Republic,Marquette,Superiorland Library Cooperative,No,,,
48,MI0287,Richfield Township Public Library,"Class 1: Serve 3,999 or less",3731.0,Saint Helen,Roscommon,Mid-Michigan Library League,No,,,
49,MI0289,Richland Township Library,"Class 1: Serve 3,999 or less",3674.0,Vestaburg,Montcalm,Mid-Michigan Library League,No,,,Yes
50,MI0291,Richmond Township Library,"Class 1: Serve 3,999 or less",882.0,Palmer,Marquette,Superiorland Library Cooperative,No,,,No
51,MI0305,Schoolcraft Community Library,"Class 1: Serve 3,999 or less",3775.0,Schoolcraft,Kalamazoo,Woodlands Library Cooperative,Yes,Annual,$50/family,Yes
52,MI0307,Seville Township Public Library,"Class 1: Serve 3,999 or less",3138.0,Riverdale,Gratiot,Mid-Michigan Library League,No,,,Yes
53,MI0311,Sleeper Public Library,"Class 1: Serve 3,999 or less",3428.0,Ubly,Huron,White Pine Library Cooperative,Yes,Annual,20/Family,Yes
54,MI0312,Sodus Township Library,"Class 1: Serve 3,999 or less",1932.0,"Sodus, MI",Berrien,Southwest Michigan Library Cooperative,No,,,No
55,MI0327,Sunfield District Library,"Class 1: Serve 3,999 or less",2387.0,Sunfield,Eaton,Woodlands Library Cooperative,No,,,
56,MI0334,Tekonsha Township Public Library,"Class 1: Serve 3,999 or less",1873.0,Tekonsha,Calhoun,Woodlands Library Cooperative,Yes,Annual,20,Yes
57,MI0341,Topinabee Public Library,"Class 1: Serve 3,999 or less",2294.0,Topinabee,Cheboygan,Northland Library Cooperative,No,,,
58,MI0346,Vermontville Township Library,"Class 1: Serve 3,999 or less",3895.0,Vermontville,Eaton,Woodlands Library Cooperative,No,,,Yes
59,MI0350,Wakefield Public Library,"Class 1: Serve 3,999 or less",2156.0,Wakefield,Gogebic,Superiorland Library Cooperative,Yes,Annual,30,Yes
60,MI0351,Waldron District Library,"Class 1: Serve 3,999 or less",2475.0,Waldron,Hillsdale,Woodlands Library Cooperative,No,,,Yes
61,MI0352,Walkerville Public/School Library,"Class 1: Serve 3,999 or less",1968.0,Walkerville,Oceana,Mid-Michigan Library League,No,,,
62,MI0359,Watertown Township Library,"Class 1: Serve 3,999 or less",2202.0,Fostoria,Tuscola,White Pine Library Cooperative,No,,,
63,MI0365,Wheatland Township Library,"Class 1: Serve 3,999 or less",2913.0,Remus,Mecosta,Mid-Michigan Library League,No,,,Yes
64,MI0369,Whitefish Township Community Library,"Class 1: Serve 3,999 or less",575.0,Paradise,Chippewa,Superiorland Library Cooperative,Yes,OneTime,5,
65,MI0375,Wolverine Community Library,"Class 1: Serve 3,999 or less",2738.0,Wolverine,Cheboygan,Northland Library Cooperative,No,,,
66,MI0405,Addison Township Public Library,"Class 2: Serve 4,000-6,999",6351.0,Leonard,Oakland,The Library Network,No,,,No
67,MI0149,Almont District Library,"Class 2: Serve 4,000-6,999",6583.0,Almont,Lapeer,Mideastern Michigan Library Cooperative,No,,,
68,MI0013,Armada Free Public Library,"Class 2: Serve 4,000-6,999",5379.0,Armada,Macomb,Suburban Library Cooperative,Yes,Annual,$200/ Full SLC / $100 ,No
69,MI0014,Athens Community Library,"Class 2: Serve 4,000-6,999",4265.0,Athens,Calhoun,Woodlands Library Cooperative,Yes,OneTime,$20/family,Yes
70,MI0018,Bad Axe District Library,"Class 2: Serve 4,000-6,999",6621.0,Bad Axe,Huron,White Pine Library Cooperative,Yes,Annual,$40/Household,
71,MI0020,Barryton Public Library,"Class 2: Serve 4,000-6,999",4075.0,Barryton,Mecosta,Mid-Michigan Library League,No,,,Yes
72,MI0032,Bessemer Public Library,"Class 2: Serve 4,000-6,999",5414.0,Bessemer,Gogebic,Superiorland Library Cooperative,Yes,Annual,$20/person,Yes
73,MI0042,Bridgman Public Library,"Class 2: Serve 4,000-6,999",6296.0,Bridgman,Berrien,Southwest Michigan Library Cooperative,Yes,Annual,$20/individual,Yes
74,MI0044,Brown City Public Library,"Class 2: Serve 4,000-6,999",4005.0,Brown City,Sanilac,White Pine Library Cooperative,No,,,Yes
75,MI0051,Camden Township Library,"Class 2: Serve 4,000-6,999",4191.0,Camden,Hillsdale,Woodlands Library Cooperative,Yes,Annual,10,Yes
76,MI0066,Coleman Area Library,"Class 2: Serve 4,000-6,999",4622.0,Coleman,Midland,Mideastern Michigan Library Cooperative,Yes,Annual,$35/Individual,Yes
77,MI0071,Constantine Township Library,"Class 2: Serve 4,000-6,999",4986.0,Constantine,St. Joseph,Woodlands Library Cooperative,No,,,Yes
78,MI0080,Deckerville Public Library,"Class 2: Serve 4,000-6,999",4514.0,Deckerville,Sanilac,White Pine Library Cooperative,No,,,Yes
79,MI0373,Dorothy Hull Library - Windsor Township,"Class 2: Serve 4,000-6,999",6838.0,Dimondale,Eaton,Woodlands Library Cooperative,No,,,
80,MI0088,Dowling Public Library,"Class 2: Serve 4,000-6,999",4869.0,Hastings,Barry,Woodlands Library Cooperative,Yes,Annual,30,
81,MI0089,Dryden Township Library,"Class 2: Serve 4,000-6,999",4768.0,Dryden,Lapeer,Mideastern Michigan Library Cooperative,Yes,OneTime,20.00/Individual,No
82,MI0098,Elk Rapids District Library,"Class 2: Serve 4,000-6,999",5432.0,Elk Rapids,Antrim,Northland Library Cooperative,Yes,Annual,40,Yes
83,MI0112,Forsyth Township Public Library,"Class 2: Serve 4,000-6,999",6164.0,Gwinn,Marquette,Superiorland Library Cooperative,No,,,
84,MI0117,Freeport District Library,"Class 2: Serve 4,000-6,999",5641.0,FREEPORT,Barry,Lakeland Library Cooperative,No,,,
85,MI0140,Harbor Beach Area District Library,"Class 2: Serve 4,000-6,999",6119.0,Harbor Beach,Huron,White Pine Library Cooperative,Yes,Annual,$25/individual; additional family cards $5,Yes
86,MI0144,Hartford Public Library,"Class 2: Serve 4,000-6,999",6582.0,Hartford,Van Buren,Southwest Michigan Library Cooperative,No,,,Yes
87,MI0151,Hesperia Community Library,"Class 2: Serve 4,000-6,999",5933.0,Hesperia,Newaygo,Lakeland Library Cooperative,Yes,Annual,48,
88,MI0154,Home Township Library,"Class 2: Serve 4,000-6,999",4220.0,Edmore,Montcalm,Lakeland Library Cooperative,Yes,Annual,$20/Family,Yes
89,MI0157,Hopkins District Library,"Class 2: Serve 4,000-6,999",4610.0,Hopkins,Allegan,Lakeland Library Cooperative,Yes,Annual,36/Individual,
90,MI0159,Howe Memorial Library,"Class 2: Serve 4,000-6,999",5531.0,Breckenridge,Gratiot,White Pine Library Cooperative,No,,,Yes
91,MI0161,Hudson Carnegie District Library,"Class 2: Serve 4,000-6,999",5107.0,Hudson,Lenawee,Woodlands Library Cooperative,Yes,Annual,$35 Family,Yes
92,MI0170,Interlochen Public Library,"Class 2: Serve 4,000-6,999",5784.0,Interlochen,Grand Traverse,Northland Library Cooperative,No,,,
93,MI0172,Ironwood Carnegie Library,"Class 2: Serve 4,000-6,999",5713.0,Ironwood,Gogebic,Superiorland Library Cooperative,Yes,Annual,30/family,Yes
94,MI0174,J. C. Wheeler Public Library,"Class 2: Serve 4,000-6,999",6443.0,Martin,Allegan,Southwest Michigan Library Cooperative,No,,,Yes
95,MI0176,Jacquelin E. Opperman Memorial Library,"Class 2: Serve 4,000-6,999",4080.0,Kingston,Tuscola,White Pine Library Cooperative,No,,,Yes
96,MI0178,Jonesville District Library,"Class 2: Serve 4,000-6,999",5210.0,Jonesville,Hillsdale,Woodlands Library Cooperative,Yes,Annual,10,Yes
97,MI0179,Jordan Valley District Library,"Class 2: Serve 4,000-6,999",6997.0,East Jordan,Charlevoix,Northland Library Cooperative,Yes,Annual,$55 individual,Yes
98,MI0188,Lake Odessa Community Library,"Class 2: Serve 4,000-6,999",4168.0,Lake Odessa,Ionia,Lakeland Library Cooperative,No,,,Yes
99,MI0422,Leighton Township Library,"Class 2: Serve 4,000-6,999",4934.0,Moline,Allegan,Lakeland Library Cooperative,Yes,Annual,$50/household,
100,MI0194,Leland Township Public Library,"Class 2: Serve 4,000-6,999",5857.0,Leland,Leelanau,Mid-Michigan Library League,No,,,Yes
101,MI0203,Luther Area Public Library,"Class 2: Serve 4,000-6,999",4141.0,Luther,Lake,Mid-Michigan Library League,No,,,Yes
102,MI0206,M. Alice Chapin Memorial Library,"Class 2: Serve 4,000-6,999",4197.0,Marion,Osceola,Mid-Michigan Library League,Yes,Annual,55/individual; 125 family,Yes
103,MI0208,Mackinaw Area Public Library,"Class 2: Serve 4,000-6,999",5068.0,Mackinaw City,Emmet,Northland Library Cooperative,Yes,Annual,$30.00,Yes
104,MI0211,Mancelona Township Library,"Class 2: Serve 4,000-6,999",4968.0,Mancelona,Antrim,Mid-Michigan Library League,Yes,Annual,20.00/household,Yes
105,MI0216,Marcellus Township Wood Memorial Library,"Class 2: Serve 4,000-6,999",4101.0,Marcellus,Cass,Southwest Michigan Library Cooperative,Yes,OneTime,20.00,Yes
106,MI0217,Marlette District Library,"Class 2: Serve 4,000-6,999",5241.0,Marlette,Sanilac,White Pine Library Cooperative,Yes,OneTime,10.00,Yes
107,MI0221,Mayville District Public Library,"Class 2: Serve 4,000-6,999",5160.0,Mayville,Tuscola,White Pine Library Cooperative,No,,,Yes
108,MI0418,McBain Community Library,"Class 2: Serve 4,000-6,999",5841.0,McBain,Missaukee,Mid-Michigan Library League,No,,,
109,MI0225,Mendon Township Library,"Class 2: Serve 4,000-6,999",4730.0,Mendon,St. Joseph,Woodlands Library Cooperative,No,,,
110,MI0235,Moore Public Library,"Class 2: Serve 4,000-6,999",5072.0,Lexington,Sanilac,White Pine Library Cooperative,No,,,
111,MI0236,Morton Township Public Library,"Class 2: Serve 4,000-6,999",6634.0,Mecosta,Mecosta,Mid-Michigan Library League,Yes,Annual,$30/Family,Yes
112,MI0243,New Buffalo Township Public Library,"Class 2: Serve 4,000-6,999",5302.0,New Buffalo,Berrien,Southwest Michigan Library Cooperative,Yes,Annual,34,Yes
113,MI0244,Newaygo Area District Library,"Class 2: Serve 4,000-6,999",6834.0,Newaygo,Newaygo,Lakeland Library Cooperative,Yes,Annual,40/Individual,Yes
114,MI0246,North Adams Community Memorial Library,"Class 2: Serve 4,000-6,999",4469.0,North Adams,Hillsdale,Woodlands Library Cooperative,Yes,Annual,10,Yes
115,MI0249,Nottawa Township Library,"Class 2: Serve 4,000-6,999",6174.0,Centrevile,St. Joseph,Woodlands Library Cooperative,No,,,Yes
116,MI0260,Ovid Public Library,"Class 2: Serve 4,000-6,999",5305.0,Ovid,Clinton,White Pine Library Cooperative,No,,,
117,MI0264,Pathfinder Community Library,"Class 2: Serve 4,000-6,999",6341.0,Baldwin,Lake,Mid-Michigan Library League,Yes,Annual,12.00,
118,MI0266,Peninsula Community Library,"Class 2: Serve 4,000-6,999",5433.0,Traverse City,Grand Traverse,Northland Library Cooperative,Yes,Annual,$100,Yes
119,MI0270,Pigeon District Library,"Class 2: Serve 4,000-6,999",6654.0,Pigeon,Huron,White Pine Library Cooperative,Yes,Annual,$40/card,Yes
120,MI0272,Pittsford Public Library,"Class 2: Serve 4,000-6,999",4105.0,Pittsford,Hillsdale,Woodlands Library Cooperative,Yes,Annual,$10,Yes
121,MI0275,Port Austin Township Library,"Class 2: Serve 4,000-6,999",5033.0,Port Austin,Huron,White Pine Library Cooperative,Yes,Annual,5,Yes
122,MI0028,Potterville-Benton Township District Library,"Class 2: Serve 4,000-6,999",5413.0,Potterville,Eaton,Woodlands Library Cooperative,No,,,
123,MI0280,Putnam District Library,"Class 2: Serve 4,000-6,999",6847.0,Nashville,Barry,Woodlands Library Cooperative,Yes,Annual,$35/Individual,Yes
124,MI0281,Rauchholz Memorial Library,"Class 2: Serve 4,000-6,999",6240.0,Hemlock,Saginaw,White Pine Library Cooperative,Yes,Annual,$25 individual/$50 family,Yes
125,MI0283,Reading Community Library,"Class 2: Serve 4,000-6,999",5376.0,Reading,Hillsdale,Woodlands Library Cooperative,Yes,Annual,10.00/family,Yes
126,MI0380,Reese Unity District Library,"Class 2: Serve 4,000-6,999",5523.0,Reese,Tuscola,White Pine Library Cooperative,Yes,Annual,$10/student; $15/individual; $25/family,Yes
127,MI0064,River Rapids District Library,"Class 2: Serve 4,000-6,999",4659.0,Chesaning,Saginaw,White Pine Library Cooperative,Yes,Annual,50.00,
128,MI0125,Roscommon Area District Library,"Class 2: Serve 4,000-6,999",6295.0,Roscommon,Roscommon,Superiorland Library Cooperative,No,,,
129,MI0323,Saint Ignace Public Library,"Class 2: Serve 4,000-6,999",4434.0,St. Ignace,Mackinac,Superiorland Library Cooperative,Yes,Annual,$40/Family; $20/Summer Resident,Yes
130,MI0302,Sanilac District Library,"Class 2: Serve 4,000-6,999",4375.0,Port Sanilac,Sanilac,White Pine Library Cooperative,No,,,Yes
131,MI0304,Saugatuck-Douglas District Library,"Class 2: Serve 4,000-6,999",5101.0,Douglas,Allegan,Lakeland Library Cooperative,Yes,Annual,$40/family,
132,MI9007,Sebewaing Township Library,"Class 2: Serve 4,000-6,999",4038.0,Sebewaing,Huron,White Pine Library Cooperative,No,,,Yes
133,MI0432,Sherman Township Library,"Class 2: Serve 4,000-6,999",5635.0,Weidman,Isabella,White Pine Library Cooperative,Yes,Annual,$20/address,Yes
134,MI0324,Stair District Library,"Class 2: Serve 4,000-6,999",4046.0,Morenci,Lenawee,Woodlands Library Cooperative,Yes,Annual,$40/individual,
135,MI0329,Suttons Bay-Bingham District Library,"Class 2: Serve 4,000-6,999",5479.0,Suttons Bay,Leelanau,Northland Library Cooperative,No,,,
136,MI0332,Taymouth Township Library,"Class 2: Serve 4,000-6,999",6680.0,Burt,Saginaw,White Pine Library Cooperative,No,,,Yes
137,MI0110,Thomas E. Fleschner Memorial Library,"Class 2: Serve 4,000-6,999",6033.0,Birch Run,Saginaw,White Pine Library Cooperative,Yes,Annual,10.00,
138,MI0339,Three Oaks Township Public Library,"Class 2: Serve 4,000-6,999",4576.0,Three Oaks,Berrien,Southwest Michigan Library Cooperative,Yes,Annual,25.00,Yes
139,MI0344,Utica Public Library,"Class 2: Serve 4,000-6,999",4757.0,Utica,Macomb,Suburban Library Cooperative,Yes,Annual,200/family,Yes
140,MI0347,Vernon District Public Library,"Class 2: Serve 4,000-6,999",4614.0,Vernon,Shiawassee,Mideastern Michigan Library Cooperative,No,,,
141,MI0353,Walled Lake City Library,"Class 2: Serve 4,000-6,999",6999.0,Walled Lake,Oakland,The Library Network,No,,,
142,MI0360,Watervliet District Library,"Class 2: Serve 4,000-6,999",4837.0,Watervliet,Berrien,Southwest Michigan Library Cooperative,Yes,Annual,25,
143,MI0367,White Pigeon Township Library,"Class 2: Serve 4,000-6,999",5240.0,White Pigeon,St. Joseph,Woodlands Library Cooperative,Yes,Annual,$25/individual,Yes
144,MI0372,Aitkin Memorial District Library,"Class 3: Serve 7,000-11,999",7410.0,Croswell,Sanilac,White Pine Library Cooperative,No,,,
145,MI0407,Alanson Area Public Library,"Class 3: Serve 7,000-11,999",11600.0,Alanson,Emmet,Superiorland Library Cooperative,Yes,Annual,$25 Individual/$15 Over 60,Yes
146,MI0408,Albion District Library,"Class 3: Serve 7,000-11,999",11569.0,Albion,Calhoun,Woodlands Library Cooperative,Yes,Annual," $60/INDIVIDUAL (ANNUAL, AVAILABLE QUARTERLY)",
147,MI0409,Alcona County Library,"Class 3: Serve 7,000-11,999",9706.0,Harrisville,Alcona,Northland Library Cooperative,No,,,
148,MI0412,Alma Public Library,"Class 3: Serve 7,000-11,999",11902.0,Alma,Gratiot,White Pine Library Cooperative,Yes,Annual,40.00,Yes
149,MI0010,Alvah N. Belding Memorial Library,"Class 3: Serve 7,000-11,999",11000.0,Belding,Ionia,Lakeland Library Cooperative,Yes,Annual,40,Yes
150,MI0016,Augusta-Ross Township District Library,"Class 3: Serve 7,000-11,999",7172.0,Augusta,Kalamazoo,Southwest Michigan Library Cooperative,Yes,Annual,$15/Family,Yes
151,MI9026,Bath Township Public Library,"Class 3: Serve 7,000-11,999",11598.0,Bath,Clinton,Woodlands Library Cooperative,Yes,Annual,$25/individual,Yes
152,MI0031,Berrien Springs Community Library,"Class 3: Serve 7,000-11,999",9197.0,Berrien Springs,Berrien,Southwest Michigan Library Cooperative,Yes,Annual,75/Individual,
153,MI0036,Blair Memorial Library,"Class 3: Serve 7,000-11,999",11825.0,Clawson,Oakland,The Library Network,Yes,Annual,100,
154,MI0038,Boyne District Library,"Class 3: Serve 7,000-11,999",7226.0,Boyne City,Charlevoix,Northland Library Cooperative,Yes,Annual,60,
155,MI0045,Buchanan District Library,"Class 3: Serve 7,000-11,999",10090.0,Buchanan,Berrien,Southwest Michigan Library Cooperative,Yes,Annual,50,Yes
156,MI0046,Bullard Sanford Memorial Library,"Class 3: Serve 7,000-11,999",9705.0,Vassar,Tuscola,White Pine Library Cooperative,No,,,
157,MI0050,Calumet Public School Library,"Class 3: Serve 7,000-11,999",8692.0,Calumet,Houghton,Superiorland Library Cooperative,Yes,Annual,1,
158,MI0168,Caro Area District Library,"Class 3: Serve 7,000-11,999",11833.0,Caro,Tuscola,White Pine Library Cooperative,Yes,Annual,$20 individual,Yes
159,MI0054,Carson City Public Library,"Class 3: Serve 7,000-11,999",10857.0,Carson City,Montcalm,Lakeland Library Cooperative,Yes,Annual,25/individual,Yes
160,MI0056,Cedar Springs Public Library,"Class 3: Serve 7,000-11,999",9483.0,Cedar Springs,Kent,Lakeland Library Cooperative,No,,,Yes
161,MI0057,Center Line Public Library,"Class 3: Serve 7,000-11,999",8257.0,Center Line,Macomb,Suburban Library Cooperative,Yes,Annual,$50/individual,
162,MI0060,Charlevoix Public Library,"Class 3: Serve 7,000-11,999",9810.0,Charlevoix,Charlevoix,Northland Library Cooperative,Yes,Annual,"$100/year, $25/quarter",Yes
163,MI0072,Coopersville Area District Library,"Class 3: Serve 7,000-11,999",11862.0,Coopersville,Ottawa,Lakeland Library Cooperative,Yes,Annual,50.,
164,MI0081,Delton District Library,"Class 3: Serve 7,000-11,999",10021.0,Delton,Barry,Woodlands Library Cooperative,Yes,Annual,$50/family,
165,MI0086,Dorr Township Library,"Class 3: Serve 7,000-11,999",7439.0,Dorr,Allegan,Lakeland Library Cooperative,No,,,
166,MI0095,Eau Claire District Library,"Class 3: Serve 7,000-11,999",7392.0,Eau Claire,Berrien,Southwest Michigan Library Cooperative,Yes,Annual,25,
167,MI9021,Ecorse Public Library,"Class 3: Serve 7,000-11,999",9512.0,Ecorse,Wayne,The Library Network,No,,,
168,MI0102,Evart Public Library,"Class 3: Serve 7,000-11,999",7717.0,Evart,Osceola,Mid-Michigan Library League,No,,,Yes
169,MI0177,Frankenmuth James E. Wickson District Library,"Class 3: Serve 7,000-11,999",7824.0,Frankenmuth,Saginaw,White Pine Library Cooperative,Yes,Annual,50/individual,
170,MI0119,Galesburg-Charleston Memorial District Library,"Class 3: Serve 7,000-11,999",9476.0,Galesburg,Kalamazoo,Southwest Michigan Library Cooperative,Yes,Annual,$25/individual,Yes
171,MI0162,Gary Byker Memorial Library of Hudsonville,"Class 3: Serve 7,000-11,999",10983.0,Hudsonville,Ottawa,Lakeland Library Cooperative,No,,,Yes
172,MI0126,Gladstone School & Public Library,"Class 3: Serve 7,000-11,999",11239.0,Gladstone,Delta,Superiorland Library Cooperative,Yes,Annual,$35/family;$20 individual,Yes
173,MI0132,Grant Area District Library,"Class 3: Serve 7,000-11,999",8875.0,Grant,Newaygo,Lakeland Library Cooperative,Yes,Annual,$50/Individual,
174,MI0143,Hart Area Public Library,"Class 3: Serve 7,000-11,999",8133.0,Hart,Oceana,Mid-Michigan Library League,No,,,Yes
175,MI0148,Henika District Library,"Class 3: Serve 7,000-11,999",7135.0,Wayland,Allegan,Lakeland Library Cooperative,Yes,Annual,$40/individual,
176,MI0232,Hillsdale Community Library,"Class 3: Serve 7,000-11,999",11870.0,Hillsdale,Hillsdale,Woodlands Library Cooperative,Yes,Annual,40.00,Yes
177,MI0163,Huntington Woods Public Library,"Class 3: Serve 7,000-11,999",8764.0,Huntington Woods,Oakland,The Library Network,No,,,Yes
178,MI0186,Laingsburg Public Library,"Class 3: Serve 7,000-11,999",9555.0,Laingsburg,Shiawassee,Mideastern Michigan Library Cooperative,No,,,Yes
179,MI0184,L'Anse Area School-Public Library,"Class 3: Serve 7,000-11,999",9533.0,L'Anse,Baraga,Superiorland Library Cooperative,No,,,Yes
180,MI0196,Lenox Township Library,"Class 3: Serve 7,000-11,999",10470.0,New Haven,Macomb,Suburban Library Cooperative,Yes,Annual,200.00,
