,FSCS,Location,Library Class,County,Township,Type,Millage Rate,Millage Authorization Date,Millage Rate Levied,Millage Expiration Date,Millage Voted in Perpetuity,"Millage is for Operating, Debt, or Both?",Millage Rate (2),Millage Authorization Date (2),Millage Rate Levied (2),Millage Expiration Date (2),Millage Voted in Perpetuity (2),"Millage is for Operating, Debt, or Both? (2)",Millage Rate (3),Millage Authorization Date (3),Millage Rate Levied (3),Millage Expiration Date (3),Millage Voted in Perpetuity (3),"Millage is for Operating, Debt, or Both? (3)"
66,MI0405,Addison Township Public Library,"Class 2: Serve 4,000-6,999",Oakland,Addison,Township,0.75,Nov 1984,0.5543,None,Yes,Both,0.2,2014-11-04,0.1909,2023-12-31,No,Both,,,,,,
67,MI0149,Almont District Library,"Class 2: Serve 4,000-6,999",Lapeer,Almont,District,1.2049,2016-08-02,1.25,2026-08-02,No,Operating,,,,,,,,,,,,
68,MI0013,Armada Free Public Library,"Class 2: Serve 4,000-6,999",Macomb,Armada,Township,0.75,Aug 66,0.6336,0,Yes,Operating,0.5,Aug 92,0.4492,0,Yes,Operating,,,,,,
69,MI0014,Athens Community Library,"Class 2: Serve 4,000-6,999",Calhoun,Athens,Township,0.7,Oct.-2020,0.7,Oct.-2021,No,Operating,,,,,,,,,,,,
70,MI0018,Bad Axe District Library,"Class 2: Serve 4,000-6,999",Huron,City of Bad Axe,District,0.9,May 2007,0.9,Never,Yes,Operating,,,,,,,,,,,,
71,MI0020,Barryton Public Library,"Class 2: Serve 4,000-6,999",Mecosta,Fork,District,0.992,November 2020,0.992,December 2024,No,Operating,,,,,,,,,,,,
72,MI0032,Bessemer Public Library,"Class 2: Serve 4,000-6,999",Gogebic,City of Bessemer,City,1.0,07/01/2018,1.0,,Yes,operating,,,,,,,,,,,,
73,MI0042,Bridgman Public Library,"Class 2: Serve 4,000-6,999",Berrien,Lake,City,1.0,Apr 1966,0.7244,,Yes,Operating,0.9861,Aug 2016,1.0,2022-12-31,No,Operating,,,,,,
74,MI0044,Brown City Public Library,"Class 2: Serve 4,000-6,999",Sanilac,Maple Valley,City,0.2,March-20,0.2,Aug-24,No,Operating,1.0,Aug-20,1.0,Aug-24,No,Operating,,,,,,
75,MI0051,Camden Township Library,"Class 2: Serve 4,000-6,999",Hillsdale,Camden,Township,0.75,Aug-03,0.75,,Yes,operating,,,,,,,,,,,,
76,MI0066,Coleman Area Library,"Class 2: Serve 4,000-6,999",Midland,City of Coleman,District,1.0,August 2018,1.0,December 2028,No,Operating,,,,,,,,,,,,
77,MI0071,Constantine Township Library,"Class 2: Serve 4,000-6,999",St. Joseph,Constantine,Township,1.0,MAR 1993,0.9452,,Yes,Operating,,,,,,,,,,,,
78,MI0080,Deckerville Public Library,"Class 2: Serve 4,000-6,999",Sanilac,Marion,Village,0.2,Aug 2020,0.2,Aug 2023,No,operating,,,,,,,,,,,,
79,MI0373,Dorothy Hull Library - Windsor Township,"Class 2: Serve 4,000-6,999",Eaton,Windsor,Township,,,,,,,,,,,,,,,,,,
80,MI0088,Dowling Public Library,"Class 2: Serve 4,000-6,999",Barry,Baltimore,Township,0.0003,Aug-12,0.0003,Aug-20,No,Operating,0.0003,Aug-12,0.0003,Aug-20,No,Operating,,,,,,
81,MI0089,Dryden Township Library,"Class 2: Serve 4,000-6,999",Lapeer,Dryden,Township,0.3645,Nov-74,0.3645,Aug-06,Yes,Operating,,,,,,,,,,,,
82,MI0098,Elk Rapids District Library,"Class 2: Serve 4,000-6,999",Antrim,Elk Rapids,District,0.5069,08/2001,0.6,,Yes,Operating,,,,,,,,,,,,
83,MI0112,Forsyth Township Public Library,"Class 2: Serve 4,000-6,999",Marquette,Forsyth,Township,0.5,Aug-18,0.4965,Dec-26,No,Operating,,,,,,,,,,,,
84,MI0117,Freeport District Library,"Class 2: Serve 4,000-6,999",Barry,Irving,District,0.4877,2016,0.5,Dec 2026,No,Operating,,,,,,,,,,,,
85,MI0140,Harbor Beach Area District Library,"Class 2: Serve 4,000-6,999",Huron,City of Harbor Beach,District,1.6,Sep-94,1.5781,none,Yes,operating,,,,,,,,,,,,
86,MI0144,Hartford Public Library,"Class 2: Serve 4,000-6,999",Van Buren,City of Hartford,District,0.85,Nov.94,0.7624,0,Yes,Operating,0.85,Aug.00,0.7783,0,Yes,Operating,,,,,,
87,MI0151,Hesperia Community Library,"Class 2: Serve 4,000-6,999",Newaygo,Denver,District,0.85,2018-08-07,0.85,December 2021,No,operating,0.96,March 2000,0.96,December 2021,No,Debt,,,,,,
88,MI0154,Home Township Library,"Class 2: Serve 4,000-6,999",Montcalm,Home,Township,0.9,,0.9,2029,No,Operating,,,,,,,,,,,,
89,MI0157,Hopkins District Library,"Class 2: Serve 4,000-6,999",Allegan,Hopkins,District,0.6,Aug-14,0.6,Aug-24,Yes,Operating,,,,,,,,,,,,
90,MI0159,Howe Memorial Library,"Class 2: Serve 4,000-6,999",Gratiot,Wheeler,Village,0.5,11/2014,0.5,11/2022,No,0,,,,,,,,,,,,
91,MI0161,Hudson Carnegie District Library,"Class 2: Serve 4,000-6,999",Lenawee,Hudson,District,0.7497,Aug 2014,0.75,Dec 2023,No,Both,,,,,,,,,,,,
92,MI0170,Interlochen Public Library,"Class 2: Serve 4,000-6,999",Grand Traverse,Green Lake,Township,,,,,,,,,,,,,,,,,,
93,MI0172,Ironwood Carnegie Library,"Class 2: Serve 4,000-6,999",Gogebic,Ironwood,City,1.0,11/08/94,0.9658,never,Yes,Operating,,,,,,,,,,,,
94,MI0174,J. C. Wheeler Public Library,"Class 2: Serve 4,000-6,999",Allegan,Martin,Township,,,,,,,,,,,,,,,,,,
95,MI0176,Jacquelin E. Opperman Memorial Library,"Class 2: Serve 4,000-6,999",Tuscola,Kingston,School District,,,,,,,,,,,,,,,,,,
96,MI0178,Jonesville District Library,"Class 2: Serve 4,000-6,999",Hillsdale,Fayette,District,1.0,May 1999,1.0,,Yes,Both,,,,,,,,,,,,
97,MI0179,Jordan Valley District Library,"Class 2: Serve 4,000-6,999",Charlevoix,City of East Jordan,District,1.0,Apr 1994,0.8571,None,Yes,Operating,,,,,,,,,,,,
98,MI0188,Lake Odessa Community Library,"Class 2: Serve 4,000-6,999",Ionia,Odessa,District,1.0,Aug-17,0.95,Dec-27,No,Both,1.0,Nov-96,0.95,Perpetuity,Yes,Both,,,,,,
99,MI0422,Leighton Township Library,"Class 2: Serve 4,000-6,999",Allegan,Leighton,Township,2.0,Sep 1996,1.0,none,Yes,operating,,,,,,,,,,,,
100,MI0194,Leland Township Public Library,"Class 2: Serve 4,000-6,999",Leelanau,Leland,Township,0.4,2016-08-02,0.3904,2023-12-31,No,O,,,,,,,,,,,,
101,MI0203,Luther Area Public Library,"Class 2: Serve 4,000-6,999",Lake,Newkirk,District,0.25,08/07/2018,0.25,12/01/2023,No,Operating,,,,,,,,,,,,
102,MI0206,M. Alice Chapin Memorial Library,"Class 2: Serve 4,000-6,999",Osceola,Marion,Village,1.0,March 1969,1.0,,Yes,Operating,,,,,,,,,,,,
103,MI0208,Mackinaw Area Public Library,"Class 2: Serve 4,000-6,999",Emmet,Wawatam,District,1.0,Mar-86,0.8495,,Yes,Operating,,,,,,,,,,,,
104,MI0211,Mancelona Township Library,"Class 2: Serve 4,000-6,999",Antrim,Mancelona,Township,,,,,,,,,,,,,,,,,,
105,MI0216,Marcellus Township Wood Memorial Library,"Class 2: Serve 4,000-6,999",Cass,Marcellus,Township,2.0,Sept. 12,2.0,2024-11-06,No,Operating,,,,,,,,,,,,
106,MI0217,Marlette District Library,"Class 2: Serve 4,000-6,999",Sanilac,City of Marlette,District,0.2,Mar-20,0.2,Mar-24,No,Operating,,,,,,,,,,,,
107,MI0221,Mayville District Public Library,"Class 2: Serve 4,000-6,999",Tuscola,Fremont,District,0.75,08/2012,0.7354,08/2021,No,Operating,,,,,,,,,,,,
108,MI0418,McBain Community Library,"Class 2: Serve 4,000-6,999",Missaukee,City of McBain,School District,,,,,,,,,,,,,,,,,,
109,MI0225,Mendon Township Library,"Class 2: Serve 4,000-6,999",St. Joseph,Mendon,Township,1.0,Aug-00,0.9752,Aug-00,Yes,Operating,,,,,,,,,,,,
110,MI0235,Moore Public Library,"Class 2: Serve 4,000-6,999",Sanilac,Lexington,District,0.2,Aug 2016,0.2,Aug 2020,No,operating,0.5986,Nov 2014,0.5986,Dec 2025,No,operating,,,,,,
111,MI0236,Morton Township Public Library,"Class 2: Serve 4,000-6,999",Mecosta,Morton,Township,0.8,8/1994,0.7348,0,Yes,Operating,0.66,8/2010,0.5469,8/2040,No,Debt,0.0604,8/2/2016,0.06,,Yes,Operating
112,MI0243,New Buffalo Township Public Library,"Class 2: Serve 4,000-6,999",Berrien,New Buffalo,Township,0.5,9/1995,0.3363,yes,Yes,operating,0.4522,11/06/2012,0.35,2035,No,debt,,,,,,
113,MI0244,Newaygo Area District Library,"Class 2: Serve 4,000-6,999",Newaygo,City of Newaygo,District,1.1,Aug 2010,1.0947,Dec 2029,No,Operating.,,,,,,,,,,,,
114,MI0246,North Adams Community Memorial Library,"Class 2: Serve 4,000-6,999",Hillsdale,Adams,District,0.0009,2016-08-02,0.8872,2026-08-04,No,Both,,,,,,,,,,,,
115,MI0249,Nottawa Township Library,"Class 2: Serve 4,000-6,999",St. Joseph,Nottawa,Township,1.6351,08-2014,1.6351,12-31-2019,No,Operating,,,,,,,,,,,,
116,MI0260,Ovid Public Library,"Class 2: Serve 4,000-6,999",Clinton,Ovid,District,1.0,Nov of 1992,0.75,,Yes,operating,,,,,,,,,,,,
117,MI0264,Pathfinder Community Library,"Class 2: Serve 4,000-6,999",Lake,Pleasant Plains,Township,1.0,1953-06-01 00:00:00,1.0,,Yes,both,0.25,Jan 2019,0.25,Jan 2023,No,Both,,,,,,
118,MI0266,Peninsula Community Library,"Class 2: Serve 4,000-6,999",Grand Traverse,Peninsula,Township,,,,,,,,,,,,,,,,,,
119,MI0270,Pigeon District Library,"Class 2: Serve 4,000-6,999",Huron,Winsor,District,1.0,08-18,0.6,12-22,No,Operating,,,,,,,,,,,,
120,MI0272,Pittsford Public Library,"Class 2: Serve 4,000-6,999",Hillsdale,Pittsford,Township,0.93,Jan. 08,0.93,Jan. 2028,No,Operating,,,,,,,,,,,,
121,MI0275,Port Austin Township Library,"Class 2: Serve 4,000-6,999",Huron,Port Austin,Township,0.5,Nov. 2012,0.5,dec 2023,No,operating,0.5,Nov 2012,0.5,Nov 2023,No,debt,0.35,Nov 2012,0.35,Nov 2032,No,operating
122,MI0028,Potterville-Benton Township District Library,"Class 2: Serve 4,000-6,999",Eaton,Benton,District,0.5,Nov. 1996,0.4621,,Yes,Operating,,,,,,,,,,,,
123,MI0280,Putnam District Library,"Class 2: Serve 4,000-6,999",Barry,Castleton,District,1.0,Jan 2016,0.9901,Dec 2025,No,Operating,,,,,,,,,,,,
124,MI0281,Rauchholz Memorial Library,"Class 2: Serve 4,000-6,999",Saginaw,Richland,Township,0.75,November 1988,0.6812,,Yes,Operating,0.0688,November 2014,0.0688,,Yes,Operating,,,,,,
125,MI0283,Reading Community Library,"Class 2: Serve 4,000-6,999",Hillsdale,,District,1.0,August 2014,1.0,July 2023,No,operating,,,,,,,,,,,,
126,MI0380,Reese Unity District Library,"Class 2: Serve 4,000-6,999",Tuscola,Denmark,District,1.0,Nov-14,0.9965,Nov - 24,No,Operating,,,,,,,,,,,,
127,MI0064,River Rapids District Library,"Class 2: Serve 4,000-6,999",Saginaw,Chesaning,District,0.9969,"Aug 4, 2020",0.9969,Dec. 2030,No,operating,,,,,,,,,,,,
128,MI0125,Roscommon Area District Library,"Class 2: Serve 4,000-6,999",Roscommon,Higgins,District,0.75,Aug 2014,0.75,Aug 2029,No,Both,,,,,,,,,,,,
129,MI0323,Saint Ignace Public Library,"Class 2: Serve 4,000-6,999",Mackinac,City of Saint Ignace,City,1.0,August /16,1.0,Dec/26,No,Operating,0.5,August/16,0.5,Aug./26,No,Operating,0.25,August/16,0.25,Aug./26,No,Operating
130,MI0302,Sanilac District Library,"Class 2: Serve 4,000-6,999",Sanilac,Sanilac,District,0.625,08/2018,0.621,2020-12-31,No,Operating,0.2,2020-05-05,0.2,2024-12-31,No,Operating,,,,,,
131,MI0304,Saugatuck-Douglas District Library,"Class 2: Serve 4,000-6,999",Allegan,Saugatuck,District,0.3,Nov 1995,0.2154,Unlimited,Yes,Operating,0.2,Aug-11,0.1932,Dec-20,No,Operating,0.37,Aug-18,0.37,Dec-43,No,Debt
132,MI9007,Sebewaing Township Library,"Class 2: Serve 4,000-6,999",Huron,Sebewaing,Township,0.5,Aug 14,0.5,Aug 22,No,Operating,0.3,Aug 14,0.3,Aug 24,No,Operating,0.1,Aug 16,0.1,Aug 20,No,Operating
133,MI0432,Sherman Township Library,"Class 2: Serve 4,000-6,999",Isabella,Sherman,Township,0.75,11/2020,0.75,11/2025,No,Operating,,,,,,,,,,,,
134,MI0324,Stair District Library,"Class 2: Serve 4,000-6,999",Lenawee,City of Morenci,District,1.2488,8.4.2015,1.25,12.31.2024,No,Operating,,,,,,,,,,,,
135,MI0329,Suttons Bay-Bingham District Library,"Class 2: Serve 4,000-6,999",Leelanau,Suttons Bay,District,0.5,08/04/2020,0.5,12/31/2024,No,Operating,,,,,,,,,,,,
136,MI0332,Taymouth Township Library,"Class 2: Serve 4,000-6,999",Saginaw,Taymouth,Township,,,,,,,,,,,,,,,,,,
137,MI0110,Thomas E. Fleschner Memorial Library,"Class 2: Serve 4,000-6,999",Saginaw,Birch Run,Township,,,,,,,,,,,,,,,,,,
138,MI0339,Three Oaks Township Public Library,"Class 2: Serve 4,000-6,999",Berrien,Three Oaks,Township,1.5,May 2008,1.4796,Nov 2027,No,Operating,,,,,,,,,,,,
139,MI0344,Utica Public Library,"Class 2: Serve 4,000-6,999",Macomb,City of Utica,City,1.0,April 1949,0.8339,None,Yes,Operating,0.4,August 2016,0.4,August 2026,No,Operating,,,,,,
140,MI0347,Vernon District Public Library,"Class 2: Serve 4,000-6,999",Shiawassee,Vernon,Township,0.5,05/2005,0.05,none,Yes,operating,,,,,,,,,,,,
141,MI0353,Walled Lake City Library,"Class 2: Serve 4,000-6,999",Oakland,City of Walled Lake,City,1.0,11/1962,0.795,,Yes,operating,0.9874,08/2014,0.9874,11/2024,No,operating,,,,,,
142,MI0360,Watervliet District Library,"Class 2: Serve 4,000-6,999",Berrien,Watervliet,District,0.5,August 2014,0.5,2024,No,operating,0.5,August 2020,0.5,2024,No,operating,,,,,,
143,MI0367,White Pigeon Township Library,"Class 2: Serve 4,000-6,999",St. Joseph,White Pigeon,Township,0.3,08-2020,0.3,08-2024,No,Operating,0.7,08-1997,0.6487,,Yes,Operating,,,,,,
144,MI0372,Aitkin Memorial District Library,"Class 3: Serve 7,000-11,999",Sanilac,City of Croswell,District,0.2,2020-03-10,0.2,2023-12-31,No,Operating,0.79,2016-08-02,0.79,2026-12-31,No,Operating,,,,,,
145,MI0407,Alanson Area Public Library,"Class 3: Serve 7,000-11,999",Emmet,Littlefield,District,,,,,,,,,,,,,,,,,,
146,MI0408,Albion District Library,"Class 3: Serve 7,000-11,999",Calhoun,City of Albion,District,2.5,Aug 2016,2.5,Dec 2026,No,Operating,,,,,,,,,,,,
147,MI0409,Alcona County Library,"Class 3: Serve 7,000-11,999",Alcona,Harrisville,County,0.5,2018-08-07,0.5,2025-12-31,No,both,,,,,,,,,,,,
148,MI0412,Alma Public Library,"Class 3: Serve 7,000-11,999",Gratiot,Arcada,City,2.0,aug 2004,2.0,2024-08-30,No,debt,1.0,july 2011,1.0,0,Yes,operating,,,,,,
149,MI0010,Alvah N. Belding Memorial Library,"Class 3: Serve 7,000-11,999",Ionia,City of Belding,City,1.3,August 2016,1.2325,December 2028,No,operating,,,,,,,,,,,,
150,MI0016,Augusta-Ross Township District Library,"Class 3: Serve 7,000-11,999",Kalamazoo,Ross,District,0.5,Aug-18,0.5,Dec-27,No,Operating,,,,,,,,,,,,
151,MI9026,Bath Township Public Library,"Class 3: Serve 7,000-11,999",Clinton,Bath Township,Township,0.68,2018-11-11,0.68,2021-01-01,No,operating,,,,,,,,,,,,
